snapshot_date,provider,slug,is_brand,focus,courses,top_terms
2026-07-07,NordWest Training UG (haftungsbeschränkt),nordwest-training-ug-haftungsbeschr-nkt,0,0,302,Geprüfte; Grundlagen; Nach; Zusatzqualifikation; Inkl; Wirtschaftsenglisch; Pädagogische; Pädagogische Zusatzqualifikation
2026-07-07,Leecon TS GmbH,leecon-ts-gmbh,0,0,282,Kmu; Projektmanagement; Itil; Agentic; Bundle; Methoden; Agile; Kmu Agentic
2026-07-07,Forward Education GmbH,forward-education-gmbh,0,0,221,Manager; Sales; Marketing; Crm-Spezialist; Strategien; E-Commerce-Strategien; Agile; Crm-Management
2026-07-07,BIN gGmbH,bin-ggmbh,0,0,220,Basics; Grundlagen; Wirtschaftsenglisch; Nach; Microsoft; Cgi; Aufbaukurs; Sgb
2026-07-07,SGD,sgd,0,0,209,Geprüfte; Fachkurs; Abiturwissen; Fachkurs Abiturwissen; Berater; Fachmann; Fachfrau; Fachfrau Fachmann
2026-07-07,StackFuel GmbH,stackfuel-gmbh,0,0,193,Data; Datenanalyse; Ki-Manager; Chatgpt; Specialist; Data Specialist; Intelligenz; Grundlagen
2026-07-07,Bildung First GmbH,bildung-first-gmbh,0,0,184,Scrum; Psm; Pspo; Master; Product; Owner; Product Owner; Scrum Master
2026-07-07,Bold Academy GmbH,bold-academy-gmbh,0,0,150,Sales; Vertrieb; Digital; Digital Sales; Crm; Lead; Manager; Management
2026-07-07,CROAS Education GmbH,croas-education-gmbh,0,0,149,Meta; Ads; Meta Ads; Digitale; Conversion; Optimierung; Rate; Conversion Rate
2026-07-07,ImpaQt Education Group,impaqt-education-group,0,0,149,Marketing; Manager; Automatisierung; Künstliche; Intelligenz; Künstliche Intelligenz; Datenanalyse; Automation
2026-07-07,brainymotion,brainymotion,0,0,146,Zusatzqualifikation; Projektmanager; Cloud; Data; Chatgpt; Microsoft; Azure; Grundlagen
2026-07-07,Smart Future Campus GmbH,smart-future-campus-gmbh,0,0,131,Datenanalyse; Automatisierung; Data; Grundlagen; Digitale; Smart; Intelligenz; Work
2026-07-07,Alphadi Akademie,alphadi-akademie,0,0,116,Inkl; Pmi; Lean; Projektmanager; Design; Thinking; Design Thinking; Projektmanager Pmi
2026-07-07,Ironhack Germany GmbH,ironhack-germany-gmbh,0,0,105,Marketing; Product; Automation; Marketing Automation; Responsible; Content; Content Marketing; Integration
2026-07-07,cimdata Bildungsakademie GmbH,cimdata-bildungsakademie-gmbh,0,0,105,Basics; Marketing; Seo; Arbeit; Basics Arbeit; Advanced; Manager; Social
