week,snapshot_date,course_id,title,keyword,rank,total_results
2026-W27,2026-06-29,10361929236,Online Advertising im Online Marketing,Online Marketing,2,5536
2026-W27,2026-06-29,10342369243,Online Marketing Manager Advanced,Online Marketing,135,5536
2026-W27,2026-06-29,10392169995,KI- und Online Marketing Manager,Online Marketing,279,5536
2026-W27,2026-06-29,10342369243,Online Marketing Manager Advanced,Online Marketing Manager,24,1937
2026-W27,2026-06-29,10392169995,KI- und Online Marketing Manager,Online Marketing Manager,41,1937
2026-W27,2026-06-29,10392170192,KI- und Online Marketing Manager Advanced,Online Marketing Manager,93,1937
2026-W27,2026-06-29,10338427399,E-Commerce Manager,Online Marketing Manager,148,1937
2026-W27,2026-06-29,10396778035,Performance Marketing Manager,Online Marketing Manager,155,1937
2026-W27,2026-06-29,10340407616,Social Media Manager,Online Marketing Manager,241,1937
2026-W27,2026-06-29,10361929236,Online Advertising im Online Marketing,Online Marketing Manager,249,1937
2026-W27,2026-06-29,10338895184,Social Media Advertising Manager,Online Marketing Manager,346,1937
2026-W27,2026-06-29,10342369243,Online Marketing Manager Advanced,Online Marketing Strategie,233,3290
2026-W27,2026-06-29,10392169995,KI- und Online Marketing Manager,Online Marketing Strategie,385,3290
2026-W27,2026-06-29,10392169995,KI- und Online Marketing Manager,Online Marketing Grundlagen,8,3796
2026-W27,2026-06-29,10392170192,KI- und Online Marketing Manager Advanced,Online Marketing Grundlagen,22,3796
2026-W27,2026-06-29,10389167529,Wordpress Grundlagen,Online Marketing Grundlagen,43,3796
2026-W27,2026-06-29,10361929236,Online Advertising im Online Marketing,Online Marketing Grundlagen,61,3796
2026-W27,2026-06-29,10342369243,Online Marketing Manager Advanced,Online Marketing Grundlagen,178,3796
2026-W27,2026-06-29,10342369243,Online Marketing Manager Advanced,Online Marketing Management,234,2986
2026-W27,2026-06-29,10361929236,Online Advertising im Online Marketing,Online Marketing lernen,2,2318
2026-W27,2026-06-29,10338426277,E-Commerce Shops und Online Plattformen,Online Marketing lernen,286,2318
2026-W27,2026-06-29,10342366414,Content Marketing,Online Marketing lernen,405,2318
2026-W27,2026-06-29,10342369243,Online Marketing Manager Advanced,Online Marketing Manager Weiterbildung,20,1226
2026-W27,2026-06-29,10392169995,KI- und Online Marketing Manager,Online Marketing Manager Weiterbildung,34,1226
2026-W27,2026-06-29,10392170192,KI- und Online Marketing Manager Advanced,Online Marketing Manager Weiterbildung,67,1226
2026-W27,2026-06-29,10396778035,Performance Marketing Manager,Online Marketing Manager Weiterbildung,119,1226
2026-W27,2026-06-29,10338427399,E-Commerce Manager,Online Marketing Manager Weiterbildung,138,1226
2026-W27,2026-06-29,10340407616,Social Media Manager,Online Marketing Manager Weiterbildung,164,1226
2026-W27,2026-06-29,10361929236,Online Advertising im Online Marketing,Online Marketing Manager Weiterbildung,198,1226
2026-W27,2026-06-29,10338895184,Social Media Advertising Manager,Online Marketing Manager Weiterbildung,231,1226
2026-W27,2026-06-29,10342366414,Content Marketing,Online Marketing Manager Weiterbildung,450,1226
2026-W27,2026-06-29,10361929236,Online Advertising im Online Marketing,Online Marketing Kampagnen,70,2506
