snapshot_date,keyword,provider,count_top_n,share_pct,best_rank,is_brand,total_results
2026-08-09,Canva,Nest Academy GmbH,1,5.0,11,0,580
2026-08-09,Canva,AFZ Aus- und Fortbildungszentrum Rostock GmbH,1,5.0,12,0,580
2026-08-09,Canva,FiGD Akademie für Medienentwicklung,1,5.0,13,0,580
2026-08-09,Canva,IBB Institut für Berufliche Bildung AG,1,5.0,14,0,580
2026-08-09,Canva,Bildungszentrum des Handels e. V.,1,5.0,15,0,580
2026-08-09,Canva,Fortbildungsakademie der Wirtschaft (FAW) gGmbH,1,5.0,16,0,580
2026-08-09,Canva,its digital akademie GmbH,1,5.0,17,0,580
2026-08-09,Canva,TÜV Rheinland Akademie GmbH,1,5.0,18,0,580
2026-08-09,Canva,Bildungsinsel GmbH,1,5.0,19,0,580
2026-08-09,Canva,Bildungswerk der Hessischen Wirtschaft e. V.,1,5.0,20,0,580
2026-08-09,Canva Lernen,Learnix GmbH,3,15.0,4,0,307
2026-08-09,Canva Lernen,Berger Bildungsinstitut GmbH,3,15.0,9,0,307
2026-08-09,Canva Lernen,Talentspring Academy Group,2,10.0,1,0,307
2026-08-09,Canva Lernen,ecomex GmbH & Co. KG,2,10.0,5,1,307
2026-08-09,Canva Lernen,IBB Institut für Berufliche Bildung AG,2,10.0,10,0,307
2026-08-09,Canva Lernen,future Training & Consulting GmbH,1,5.0,3,0,307
2026-08-09,Canva Lernen,AFZ Aus- und Fortbildungszentrum Rostock GmbH,1,5.0,6,0,307
2026-08-09,Canva Lernen,FiGD Akademie für Medienentwicklung,1,5.0,7,0,307
2026-08-09,Canva Lernen,Akademie des deutschen Mittelstandes,1,5.0,8,0,307
2026-08-09,Canva Lernen,Lecturio GmbH,1,5.0,12,0,307
2026-08-09,Canva Lernen,WBS TRAINING SE,1,5.0,13,0,307
2026-08-09,Canva Lernen,Bildungswerk der Hessischen Wirtschaft e. V.,1,5.0,16,0,307
2026-08-09,Canva Lernen,Bildungswerk der nordhessischen Wirtschaft gemeinnützige GmbH,1,5.0,17,0,307
2026-08-09,Claude,Digitale Leute School,6,30.0,2,0,705
2026-08-09,Claude,ImpaQt Education Group,4,20.0,3,0,705
2026-08-09,Claude,GFU Cyrus AG,2,10.0,10,0,705
2026-08-09,Claude,Agile Heroes GmbH,2,10.0,11,0,705
2026-08-09,Claude,WBK Akademie GmbH,2,10.0,14,0,705
2026-08-09,Claude,Talentspring Academy Group,1,5.0,1,0,705
2026-08-09,Claude,Itera Campus,1,5.0,7,0,705
2026-08-09,Claude,future Training & Consulting GmbH,1,5.0,16,0,705
2026-08-09,Claude,Learnix GmbH,1,5.0,19,0,705
2026-08-09,Content Creation mit KI,COMCAVE.COLLEGE GmbH,7,35.0,1,0,404
2026-08-09,Content Creation mit KI,Masters of Digital GmbH,2,10.0,3,0,404
2026-08-09,Content Creation mit KI,future Training & Consulting GmbH,2,10.0,11,0,404
2026-08-09,Content Creation mit KI,Talentspring Academy Group,2,10.0,12,0,404
2026-08-09,Content Creation mit KI,cimdata Bildungsakademie GmbH,1,5.0,4,0,404
2026-08-09,Content Creation mit KI,Bildung Next Level GmbH,1,5.0,8,0,404
2026-08-09,Content Creation mit KI,Learning Digital Academy GmbH,1,5.0,9,0,404
2026-08-09,Content Creation mit KI,mycareernow,1,5.0,14,0,404
2026-08-09,Content Creation mit KI,DCI Digital Career Institute GmbH,1,5.0,18,0,404
2026-08-09,Content Creation mit KI,DFW Akademie,1,5.0,19,0,404
2026-08-09,Content Creation mit KI,WBS TRAINING SE,1,5.0,20,0,404
2026-08-09,Content Creator Kurs,Distart Education GmbH,4,20.0,3,0,370
2026-08-09,Content Creator Kurs,ecomex GmbH & Co. KG,1,5.0,1,1,370
2026-08-09,Content Creator Kurs,cimdata Bildungsakademie GmbH,1,5.0,2,0,370
2026-08-09,Content Creator Kurs,Zweckverband Volkshochschule Oberes Nagoldtal,1,5.0,5,0,370
2026-08-09,Content Creator Kurs,IFP Gesellschaft für Fortbildung und Personalentwicklung mbH,1,5.0,7,0,370
2026-08-09,Content Creator Kurs,TEMP.Akademie GmbH,1,5.0,8,0,370
2026-08-09,Content Creator Kurs,Fortbildungsakademie der Wirtschaft (FAW) gGmbH,1,5.0,9,0,370
2026-08-09,Content Creator Kurs,Lecturio GmbH,1,5.0,10,0,370
2026-08-09,Content Creator Kurs,Berufliche Fortbildungszentren der Bayerischen Wirtschaft (bfz) gGmbH,1,5.0,11,0,370
2026-08-09,Content Creator Kurs,Do IT Digital GmbH,1,5.0,12,0,370
2026-08-09,Content Creator Kurs,Lernstudio Barbarossa/MegaKids Fortbildungs GmbH,1,5.0,13,0,370
2026-08-09,Content Creator Kurs,Bildungswerk der Hessischen Wirtschaft e. V.,1,5.0,15,0,370
2026-08-09,Content Creator Kurs,Wirtschaftsakademie Küster GmbH,1,5.0,16,0,370
2026-08-09,Content Creator Kurs,SWA Bildungsakademie GmbH,1,5.0,17,0,370
2026-08-09,Content Creator Kurs,PBF Personalberatung und Bildungsakademie Fasulo GmbH,1,5.0,18,0,370
2026-08-09,Content Creator Kurs,TERTIA Berufsförderung GmbH & Co. KG,1,5.0,19,0,370
2026-08-09,Content Creator Kurs,Berger Bildungsinstitut GmbH,1,5.0,20,0,370
2026-08-09,Content Creator Weiterbildung,Distart Education GmbH,7,35.0,6,0,203
2026-08-09,Content Creator Weiterbildung,velpTEC GmbH,4,20.0,2,0,203
2026-08-09,Content Creator Weiterbildung,Business Trends Academy,3,15.0,14,0,203
2026-08-09,Content Creator Weiterbildung,Masters of Digital GmbH,2,10.0,8,0,203
2026-08-09,Content Creator Weiterbildung,cimdata Bildungsakademie GmbH,1,5.0,1,0,203
